Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2024-07-04 14:16:23,FALSE,Berlin - RF30 (Foundation Run),6.55,759,01:05:03,142,160,2.9,167,181,9:56,7:40,67,63,0.97,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,73.4,No,00:00:03.0,8,86.0,01:04:37,01:34:13,110,145
Running,2024-07-02 19:12:18,FALSE,Berlin - RCV9 (Critical Velocity Run),8.82,"1,030",01:16:02,158,187,4.4,176,205,8:37,5:41,25,26,1.05,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,71.6,No,00:00:02.2,18,89.6,01:15:44,01:20:16,117,129
Running,2024-07-01 10:42:07,FALSE,Berlin - RD2 (Depletion Run),11.05,"1,275",01:40:02,144,166,3.7,173,190,9:03,7:32,26,21,1.03,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,69.8,No,00:00:01.8,13,91.4,01:39:49,01:41:26,588,608
Running,2024-06-29 09:53:15,FALSE,Running,2.10,251,00:20:51,138,154,2.2,170,194,9:57,6:41,7,7,0.95,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,80.6,No,00:00:55.1,3,84.2,00:20:50,00:21:21,266,278
Running,2024-06-28 08:13:58,FALSE,Berlin - RHR30 (Hill Repetitions Run),5.72,674,00:50:33,150,180,3.4,174,217,8:50,5:38,182,180,1.04,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,82.4,No,00:00:30,25,89.6,00:50:07,00:54:15,205,240
Running,2024-06-27 14:54:36,FALSE,Berlin - RF29 (Foundation Run),6.50,767,01:00:02,147,167,3.2,169,183,9:14,8:06,16,13,1.03,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,84.2,No,00:00:01.8,8,93.2,00:59:47,01:02:50,121,134
Running,2024-06-26 14:33:26,FALSE,Berlin - RF29 (Foundation Run),6.31,732,01:00:03,142,160,3.0,168,177,9:31,7:02,17,7,1.01,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,86.0,No,00:00:02.5,8,95.0,00:59:54,01:02:19,112,132
Running,2024-06-25 19:14:19,FALSE,Berlin - RFR45 (Fartlek Run),7.08,797,01:01:02,144,170,3.5,175,204,8:37,6:13,20,15,1.07,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,80.6,No,00:00:02.0,21,86.0,01:00:42,01:03:47,119,131
Running,2024-06-24 18:49:59,FALSE,Berlin Running,5.73,645,01:00:00,128,145,2.5,168,178,10:29,9:18,15,12,0.92,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,77.0,No,00:07:11.5,6,89.6,00:59:35,01:02:58,113,123
Running,2024-06-23 15:55:39,FALSE,Berlin - RL33 (Long Run),16.78,"1,970",02:37:39,143,178,4.3,172,200,9:24,7:08,137,150,1.00,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,77.0,No,00:00:01.4,19,89.6,02:36:22,02:49:44,109,172
Running,2024-06-21 15:04:17,FALSE,Berlin - RFR21 (Fartlek Run),8.01,936,01:10:21,152,185,3.8,173,214,8:47,5:40,21,30,1.05,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,80.6,No,00:00:20.7,27,87.8,01:09:26,01:24:47,109,133
